 ;1960;1961;1962;1963;1964;1965;1966;;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Afghanistan;62.4;62.4;61.0;82.0;85.5;105.2;143.1;;167.2;134.0;134.3;162.6;166.2;141.4;149.7;181.6;194.7;205.7;232.8;255.0;284.8;291.6;311.9;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;182.2;199.6;221.8;254.1;274.0;376.3;382.5;453.4;562.5;608.7;653.4;638.7;626.5;566.9;523.1;526.1;492.1;497.7;512.1;355.8;..;..
Albania;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;639.5;639.9;693.9;674.8;652.8;698.0;617.2;336.6;200.9;367.3;586.4;750.6;1,010.0;717.4;813.8;1,033.2;1,126.7;1,281.7;1,425.1;1,846.1;2,373.6;2,673.8;2,972.7;3,595.0;4,370.5;4,114.1;4,094.3;4,437.1;4,247.6;4,413.1;4,578.6;3,952.8;4,124.1;4,531.0;5,287.7;5,396.2;5,343.0;6,377.2;6,810.1;..
Algeria;239.0;209.9;169.9;225.8;238.9;253.3;241.0;;261.4;292.0;315.6;352.5;359.8;468.6;588.9;871.7;989.4;1,074.4;1,224.0;1,495.2;1,829.9;2,259.7;2,291.8;2,260.3;2,359.6;2,510.0;2,617.7;2,783.4;2,829.9;2,437.4;2,235.3;2,431.6;1,749.3;1,794.6;1,825.9;1,522.8;1,466.5;1,619.5;1,634.5;1,610.3;1,602.9;1,780.4;1,754.6;1,794.8;2,117.0;2,624.8;3,131.3;3,500.1;3,971.8;4,946.6;3,898.5;4,495.9;5,473.3;5,610.7;5,519.8;5,516.2;4,197.4;3,967.2;4,134.9;4,171.8;4,022.0;3,354.2;3,700.3;4,342.6;..
American Samoa;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;8,800.7;9,043.7;8,832.8;8,733.0;8,673.9;9,187.2;10,019.5;12,191.6;10,446.9;10,495.3;11,920.1;12,038.9;12,314.0;13,101.5;13,300.8;12,372.9;13,195.9;13,672.6;15,609.8;16,653.7;19,673.4;..
Andorra;..;..;..;..;..;..;..;;..;..;..;3,958.6;4,193.2;4,967.3;6,183.8;7,174.4;7,963.6;7,758.7;8,207.0;9,456.0;12,054.0;12,534.8;10,516.8;9,739.2;8,108.7;7,825.2;7,914.9;10,568.9;12,833.0;14,529.1;15,404.8;19,208.7;19,967.7;21,123.1;17,024.3;16,670.9;18,731.7;19,081.5;18,253.1;18,592.2;18,884.2;21,620.5;22,809.1;24,785.0;31,954.2;37,630.8;39,583.9;43,084.3;50,562.8;53,721.4;49,750.7;48,237.9;51,428.2;44,902.4;44,747.8;45,680.5;38,885.5;39,931.2;40,632.2;42,904.8;41,328.6;37,207.2;42,072.3;41,992.8;..
Angola;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;712.4;643.4;620.7;623.9;637.9;758.1;684.9;756.4;793.4;892.3;949.9;850.6;657.7;466.7;329.7;398.1;454.4;516.1;423.4;387.7;556.9;527.5;872.7;982.8;1,254.7;1,900.7;2,598.0;3,121.3;4,081.7;3,123.7;3,586.7;4,608.2;5,083.8;5,061.3;5,012.0;3,217.3;1,809.7;2,439.4;2,540.5;2,191.3;1,450.9;1,927.5;3,000.4;..
Antigua and Barbuda;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;1,208.7;1,366.1;1,688.3;2,025.5;2,271.8;2,519.8;2,784.7;3,188.0;3,703.8;4,488.2;5,239.5;6,230.5;6,895.4;7,255.4;7,570.0;7,721.8;8,129.1;8,788.0;8,440.0;9,079.5;9,556.8;10,029.5;10,379.2;11,010.2;10,502.9;10,549.7;10,968.9;11,650.8;12,808.0;14,310.7;16,006.1;16,457.1;14,530.6;13,404.5;14,774.0;15,136.8;14,977.1;15,451.5;15,985.5;16,449.1;16,803.9;18,133.8;18,730.0;15,224.9;17,178.5;19,919.7;..
Argentina;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3,727.0;3,787.5;2,919.3;3,454.3;3,492.7;4,005.2;2,382.3;4,331.0;5,730.7;6,815.3;6,957.4;7,464.5;7,383.7;7,690.2;8,176.8;8,250.7;7,735.3;7,666.5;7,169.0;2,579.5;3,333.2;4,258.2;5,086.6;5,891.0;7,210.6;8,977.5;8,184.4;10,386.0;12,848.7;13,082.7;13,080.3;12,334.8;13,789.1;12,790.3;14,613.0;11,795.2;9,963.7;8,500.8;10,650.9;13,650.6;..
Armenia;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;634.6;572.2;356.1;347.5;389.8;441.9;484.1;501.2;584.4;575.6;603.3;676.2;765.3;910.2;1,166.6;1,608.2;2,109.5;3,064.3;3,908.9;2,917.4;3,143.0;3,462.7;3,643.7;3,833.2;4,017.2;3,666.1;3,680.0;4,042.0;4,391.9;4,828.5;4,505.9;4,972.8;7,018.1;..
Aruba;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;6,283.0;7,567.3;9,274.5;10,767.4;11,638.7;12,850.2;13,657.7;14,970.2;16,675.3;17,140.4;17,375.2;18,713.4;19,742.3;19,833.8;21,026.2;20,911.2;21,375.3;22,050.6;24,105.5;24,978.2;25,832.9;27,665.3;29,011.6;25,740.8;24,452.6;26,043.2;25,611.2;26,514.9;26,940.3;28,419.3;28,449.7;29,329.1;30,918.5;31,902.8;24,008.1;29,127.8;33,300.8;..
Australia;1,810.6;1,877.6;1,854.6;1,967.1;2,131.4;2,281.0;2,343.8;;2,580.1;2,724.1;2,991.4;3,304.8;3,495.1;3,949.4;4,770.6;6,482.8;7,003.7;7,486.6;7,775.5;8,252.7;9,294.4;10,208.7;11,853.5;12,778.9;11,515.6;12,421.5;11,441.2;11,391.7;11,650.8;14,284.5;17,834.2;18,248.9;18,859.4;18,623.8;17,699.6;18,129.4;20,448.1;22,021.8;23,646.6;21,479.1;20,712.7;21,870.4;19,695.7;20,301.8;23,718.1;30,836.7;34,479.8;36,595.7;41,051.6;49,701.3;42,816.6;52,147.0;62,609.7;68,078.0;68,198.4;62,558.2;56,758.9;49,918.8;53,954.6;57,273.5;55,049.6;51,868.2;60,697.2;65,099.8;..
Austria;935.5;1,031.8;1,087.8;1,167.0;1,269.4;1,374.5;1,487.0;;1,569.7;1,677.7;1,825.4;2,058.8;2,381.0;2,924.0;3,890.7;4,630.8;5,285.6;5,678.4;6,810.6;8,205.5;9,793.8;10,869.5;9,385.2;9,410.3;9,537.4;8,991.1;9,172.1;13,083.1;16,392.8;17,578.6;17,468.9;21,681.0;22,410.9;24,880.2;24,081.5;25,646.7;30,325.8;29,809.1;26,705.5;27,361.9;27,183.5;24,625.6;24,558.8;26,527.6;32,294.0;36,889.2;38,417.5;40,669.3;46,915.3;51,920.0;48,153.3;46,903.8;51,442.3;48,564.9;50,731.1;51,786.4;44,195.8;45,307.6;47,429.2;51,466.6;50,067.6;48,789.5;53,517.9;52,084.7;..
Azerbaijan;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1,238.3;734.9;60.2;209.5;157.1;314.6;409.2;505.5;561.9;573.9;655.1;703.7;763.1;883.7;1,045.0;1,578.4;2,473.0;3,851.3;5,574.5;4,950.4;5,843.5;7,189.8;7,495.9;7,875.3;7,890.8;5,500.5;3,880.7;4,147.2;4,739.8;4,805.8;4,229.9;5,408.0;7,762.1;..
Bahamas, The;1,483.0;1,581.3;1,680.5;1,792.4;1,921.4;2,073.8;2,246.8;;2,466.5;2,688.9;3,057.3;3,005.8;3,109.0;3,123.5;3,466.1;3,197.7;2,953.2;3,115.5;3,386.6;3,871.3;5,194.5;5,967.8;6,257.8;6,797.8;7,324.2;8,463.5;9,436.2;9,858.3;10,617.4;10,819.3;11,533.3;11,696.5;11,270.0;11,025.9;10,730.0;11,085.1;11,447.0;11,835.4;20,415.7;21,665.4;23,991.7;24,849.6;25,234.1;26,590.1;26,204.9;26,393.4;28,280.9;28,829.8;29,687.9;29,013.6;27,120.7;27,046.7;26,644.9;28,059.4;26,955.8;28,203.4;29,725.0;29,675.5;30,709.0;31,484.0;32,279.0;23,998.3;28,260.4;31,458.3;..
Bahrain;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;8,474.2;9,188.0;9,323.7;9,227.7;9,316.4;8,407.2;6,780.1;7,270.2;7,660.1;7,721.7;8,174.8;8,621.8;8,568.7;9,063.6;9,384.8;9,543.4;9,643.3;9,728.4;9,195.4;9,566.1;12,738.8;12,291.8;12,820.0;14,230.3;15,778.0;17,705.2;19,057.8;20,883.5;23,155.8;19,448.2;21,186.8;23,741.6;25,102.7;25,790.7;25,464.8;22,795.4;22,867.2;24,349.9;25,415.8;25,869.1;23,433.2;26,850.0;30,146.9;..
Bangladesh;84.8;92.9;95.0;96.6;94.9;101.0;106.9;;116.8;116.9;128.6;133.1;128.0;90.7;113.7;171.5;260.4;132.5;123.5;166.0;190.0;216.1;235.0;209.2;193.4;202.3;232.2;221.6;241.8;258.8;274.4;294.9;283.4;285.0;292.4;292.1;322.1;387.4;395.3;402.0;404.5;413.1;410.0;408.0;440.7;469.1;492.8;503.5;552.3;630.1;698.5;776.9;856.4;876.8;973.8;1,108.5;1,236.0;1,660.0;1,815.6;1,963.4;2,122.1;2,233.3;2,457.9;2,688.3;..
Barbados;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;1,268.3;1,627.7;1,755.2;1,983.1;2,202.6;2,656.6;3,992.0;4,374.9;4,552.9;4,818.7;5,235.1;5,465.2;5,990.5;6,589.4;7,005.5;7,753.0;7,772.8;7,789.4;7,520.8;7,905.7;8,220.3;8,452.0;8,994.3;9,491.5;10,685.3;11,173.9;11,560.2;11,510.0;11,658.6;11,998.2;12,828.4;14,173.8;15,595.6;17,219.0;17,551.9;16,309.9;16,494.2;16,902.5;16,704.9;16,923.6;16,964.8;17,023.7;17,381.4;17,881.6;18,271.3;19,063.1;16,882.5;17,507.5;20,238.8;..
Belarus;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;900.5;1,603.3;1,462.0;1,370.5;1,452.5;1,396.7;1,511.3;1,210.6;1,276.3;1,244.4;1,479.4;1,819.5;2,378.3;3,126.1;3,848.2;4,735.5;6,376.2;5,352.5;6,034.7;6,527.7;6,953.2;7,998.1;8,341.3;5,967.1;5,039.8;5,785.5;6,360.1;6,837.8;6,542.9;7,489.7;7,888.3;..
Belgium;1,273.7;1,350.2;1,438.5;1,535.0;1,701.8;1,835.6;1,957.6;;2,086.6;2,222.4;2,458.1;2,765.9;3,082.9;3,831.6;4,901.0;5,733.8;6,701.4;7,243.0;8,426.9;10,289.8;11,810.6;12,864.0;10,622.8;9,343.9;8,846.2;8,457.3;8,750.8;12,170.0;15,135.9;16,391.1;16,525.1;20,600.4;21,041.7;23,372.6;22,283.9;24,208.6;28,413.8;27,489.6;24,820.9;25,338.4;25,252.8;23,098.9;23,015.1;25,006.2;30,655.2;35,429.4;36,809.7;38,705.1;44,319.2;48,303.4;44,760.3;44,184.9;47,410.6;44,670.6;46,758.0;47,764.1;41,008.3;42,012.6;44,198.5;47,545.0;46,641.7;45,609.0;51,850.4;49,926.8;..
Belize;307.1;319.6;331.2;341.4;355.6;382.6;411.3;;425.7;391.9;401.2;441.2;479.9;527.8;616.5;802.1;903.6;727.5;863.9;981.0;1,070.3;1,363.8;1,318.1;1,195.5;1,231.0;1,342.2;1,301.1;1,385.5;1,643.9;1,831.0;2,065.7;2,988.6;3,190.9;3,644.9;3,862.6;3,879.0;4,011.1;4,042.2;4,011.0;4,119.7;4,283.5;4,720.2;4,708.3;4,844.2;4,937.1;5,123.6;5,236.4;5,486.8;5,717.9;5,666.0;5,352.1;5,399.1;5,519.3;5,635.5;5,865.5;6,031.5;6,098.6;6,100.0;6,049.4;6,001.0;6,134.2;5,185.2;6,061.0;6,984.2;..
