Année,Pays,Ville
1896,Greece,Athens
1900,France,Paris
1904,USA,St. Louis
1908,UK,London
1912,Sweden,Stockholm
1920,Belgium,Antwerp
1924,France,Paris
1928,Netherlands,Amsterdam
1932,USA,Los Angeles
1936,Germany,Berlin
1948,UK,London
1952,Finland,Helsinki
1956,Australia,Melbourne
1960,Italy,Rome
1964,Japan,Tokyo
1968,Mexico,Mexico City
1972,Germany,Munich
1976,Canada,Montreal
1980,Soviet Union,Moscow
1984,USA,Los Angeles
1988,South Korea,Seoul
1992,Spain,Barcelona
1996,USA,Atlanta
2000,Australia,Sydney
2004,Greece,Athens
2008,China,Beijing
2012,UK,London
2016,Brazil,Rio de Janeiro
